post,lat,lon,description,weapon,district,neighborhood,inside,common_dist,current_date,dist_center,day_period,crime_type
935.0,39.28342,-76.63936,COMMON ASSAULT,1,SOUTHERN,New Southwest/Mount Clare,0.0,1.0,2016-06-06 22:47:00,3.366793333673758,8,21
123.0,39.29864,-76.62407,AUTO THEFT,0,CENTRAL,Upton,0.0,0.0,2011-06-29 18:05:00,1.2226590412616771,7,3
833.0,39.27684,-76.69908,ROBBERY - STREET,4,SOUTHWESTERN,Beechfield,0.0,0.0,2016-10-28 00:00:00,7.952176222573637,1,11
843.0,39.28536,-76.68674,COMMON ASSAULT,1,SOUTHWESTERN,Irvington,1.0,1.0,2015-01-02 01:28:00,6.598239627752439,1,21
531.0,39.32764,-76.62923,LARCENY FROM AUTO,0,NORTHERN,Hampden,0.0,1.0,2011-06-23 18:00:00,2.5314202236520127,7,2
922.0,39.24638,-76.62894,COMMON ASSAULT,1,SOUTHERN,Cherry Hill,1.0,1.0,2013-05-19 13:40:00,6.890954261062708,5,21
711.0,39.28952,-76.64644,ROBBERY - COMMERCIAL,4,WESTERN,Franklin Square,1.0,0.0,2013-01-14 20:30:00,3.3209798967751065,7,12
112.0,39.28676,-76.60781,LARCENY,0,CENTRAL,Inner Harbor,1.0,1.0,2011-01-22 19:15:00,2.399094807426786,7,1
443.0,39.33373,-76.5579,AUTO THEFT,0,NORTHEASTERN,Frankford,0.0,1.0,2014-03-05 21:00:00,5.760836341299287,8,3
623.0,39.34449,-76.69355,COMMON ASSAULT,1,NORTHWESTERN,Woodmere,1.0,1.0,2014-02-07 04:20:00,7.869537671154684,2,21
533.0,39.34963,-76.65845,AUTO THEFT,0,NORTHERN,Coldspring,0.0,0.0,2015-11-15 22:30:00,5.964778828282417,8,3
513.0,39.32829,-76.60813,LARCENY,0,NORTHERN,Better Waverly,1.0,1.0,2014-04-28 15:50:00,2.403593221856994,6,1
622.0,39.33004,-76.69695,AGG. ASSAULT,3,NORTHWESTERN,Howard Park,1.0,0.0,2011-06-30 05:00:00,7.436112571282487,2,32
743.0,39.30077,-76.63814,LARCENY,0,WESTERN,Sandtown-Winchester,0.0,1.0,2013-06-27 00:00:00,2.077585384498523,1,1
441.0,39.31559,-76.54438,LARCENY,0,NORTHEASTERN,Pulaski Industrial Area,0.0,1.0,2014-04-26 23:30:00,6.195739531257768,8,1
212.0,39.2943,-76.59857,COMMON ASSAULT,1,SOUTHEASTERN,Dunbar-Broadway,0.0,1.0,2013-01-14 15:30:00,2.07253011803162,6,21
632.0,39.35584,-76.6986,AUTO THEFT,0,NORTHWESTERN,Glen,0.0,1.0,2016-06-24 20:00:00,8.940259402061235,7,3
443.0,39.33399,-76.55751,LARCENY,0,NORTHEASTERN,Frankford,1.0,1.0,2014-01-22 15:00:00,5.804421105703538,6,1
211.0,39.28625,-76.59929,LARCENY FROM AUTO,0,SOUTHEASTERN,Little Italy,1.0,1.0,2014-06-17 13:30:00,2.746320510870974,5,2
443.0,39.33463,-76.55409,LARCENY,0,NORTHEASTERN,Frankford,0.0,1.0,2014-05-31 01:35:00,6.094656578827175,1,1
922.0,39.24965,-76.62382,SHOOTING,4,SOUTHERN,Cherry Hill,0.0,0.0,2013-01-13 21:10:00,6.469706446217271,8,51
941.0,39.28342,-76.61602,LARCENY FROM AUTO,0,SOUTHERN,Otterbein,0.0,1.0,2014-05-22 04:00:00,2.675063587992,2,2
111.0,39.28953,-76.60808,LARCENY FROM AUTO,0,CENTRAL,Downtown,1.0,1.0,2012-04-05 11:06:00,2.097763940459857,4,2
714.0,39.28949,-76.64727,AGG. ASSAULT,2,WESTERN,Penrose/Fayette Street Outreach,0.0,1.0,2012-03-08 20:15:00,3.3803181291018474,7,32
844.0,39.29442,-76.67985,AUTO THEFT,0,SOUTHWESTERN,Edmondson Village,0.0,1.0,2015-12-11 17:00:00,5.716771695523384,6,3
