current_date,description,inside,weapon,post,district,neighborhood,lat,lon,common_dist
2013-11-03 12:00:00,LARCENY,1,NONE,432.0,NORTHEASTERN,Belair-Edison,39.31825,-76.56668,1.0
2012-06-05 00:39:00,AGG. ASSAULT,1,OTHER,733.0,WESTERN,Penn North,39.31093,-76.64166,1.0
2012-04-17 11:00:00,LARCENY,1,NONE,513.0,NORTHERN,Better Waverly,39.32261,-76.60652,1.0
2016-01-15 06:30:00,LARCENY FROM AUTO,0,NONE,633.0,NORTHWESTERN,Pimlico Good Neighbors,39.35103,-76.67844,1.0
2013-08-29 19:00:00,LARCENY FROM AUTO,0,NONE,621.0,NORTHWESTERN,Central Forest Park,39.32561,-76.68537,1.0
2011-10-18 16:00:00,AUTO THEFT,0,NONE,542.0,NORTHERN,Guilford,39.34353,-76.60962,0.0
2011-06-26 16:23:00,ROBBERY - STREET,0,KNIFE,213.0,SOUTHEASTERN,Fells Point,39.28115,-76.59644,0.0
2016-01-11 08:30:00,BURGLARY,1,NONE,243.0,SOUTHEASTERN,Saint Helena,39.25825,-76.53156,1.0
2015-12-21 22:00:00,LARCENY FROM AUTO,0,NONE,241.0,SOUTHEASTERN,Hopkins Bayview,39.29061,-76.541,1.0
2014-11-26 09:00:00,LARCENY,0,NONE,441.0,NORTHEASTERN,Cedonia,39.33556,-76.53627,1.0
2011-12-21 18:00:00,AUTO THEFT,0,NONE,443.0,NORTHEASTERN,Frankford,39.33202,-76.55263,1.0
2012-12-07 08:00:00,LARCENY,1,NONE,922.0,SOUTHERN,Cherry Hill,39.24694,-76.62799,1.0
2011-05-31 16:00:00,LARCENY,1,NONE,621.0,NORTHWESTERN,West Arlington,39.33601,-76.68477,1.0
2014-03-05 12:29:00,ROBBERY - COMMERCIAL,1,FIREARM,922.0,SOUTHERN,Cherry Hill,39.24694,-76.63636,0.0
2014-06-18 12:56:00,COMMON ASSAULT,0,HANDS,141.0,CENTRAL,Charles North,39.31114,-76.61812,1.0
2013-08-09 21:35:00,ROBBERY - COMMERCIAL,1,NONE,614.0,NORTHWESTERN,Central Park Heights,39.33924,-76.66619,0.0
