current_date,inside,weapon,post,lat,lon,dist_center,day_period,crime_type,neighborhood_lat,neighborhood_lon,district_lat,district_lon,common_dist
2015-08-03 11:15:00,1,0,424.0,39.36178,-76.55332,8.074942242261475,4,1,39.3588025,-76.55280413461539,39.33762689962533,-76.5666633515134,1.0
2013-10-07 22:50:00,0,0,133.0,39.31189,-76.63716,1.9189912853334208,8,2,39.31371897540983,-76.63382950819675,39.29873684383431,-76.620764340225,1.0
2013-11-02 02:32:00,0,0,532.0,39.3422,-76.66129,5.511204721586634,1,41,39.34242096774194,-76.66176387096773,39.33824599049766,-76.6227167386246,0.0
2015-04-17 22:58:00,0,4,532.0,39.34978,-76.6662,6.410582442216137,8,61,39.34699093023255,-76.66434116279069,39.33824599049766,-76.6227167386246,0.0
2013-06-04 13:00:00,1,0,223.0,39.29264,-76.56612,4.567527171522857,5,1,39.29235145,-76.56678550000001,39.28954494317715,-76.57517554868063,1.0
2015-01-16 07:30:00,0,0,111.0,39.29259,-76.6104,1.7144774471559403,3,1,39.29085047974414,-76.615084445629,39.29873684383431,-76.620764340225,1.0
2012-05-27 13:26:00,1,0,731.0,39.318,-76.65821,3.8488791505708857,5,1,39.314331216931215,-76.65309333333333,39.340550095447526,-76.68238401277931,1.0
2014-10-31 11:30:00,0,0,223.0,39.2914,-76.56564,4.657279793192048,4,2,39.29235145,-76.56678550000001,39.28954494317715,-76.57517554868063,1.0
2012-05-01 13:50:00,1,0,331.0,39.30804,-76.58567,2.5771542504252083,5,15,39.30864906015038,-76.58801387218045,39.30589038784177,-76.5943316483982,1.0
2016-04-04 22:04:00,1,0,224.0,39.29545,-76.57344,3.867595956010452,8,1,39.29681269911504,-76.5732867699115,39.28954494317715,-76.57517554868063,1.0
2015-08-18 02:50:00,1,0,932.0,39.28561,-76.63675,3.036971251167947,1,15,39.28210885448916,-76.63259191950465,39.26376186739272,-76.62165641425072,1.0
2015-07-21 13:15:00,1,0,632.0,39.35316,-76.68322,7.724393543319567,5,1,39.35599826589596,-76.69229919075144,39.340550095447526,-76.68238401277931,1.0
2012-01-11 01:00:00,0,0,714.0,39.29123,-76.64772,3.3018827672907665,1,3,39.29071160377358,-76.65295811320755,39.30325811828833,-76.6475476693083,1.0
2013-10-31 09:00:00,1,0,414.0,39.37127,-76.58455,7.582624093525392,4,1,39.36970724137932,-76.58946896551724,39.33762689962533,-76.5666633515134,1.0
2013-07-10 13:24:00,0,0,533.0,39.36148,-76.65935,7.088863445009479,5,15,39.36198878378378,-76.66486081081081,39.33824599049766,-76.6227167386246,1.0
2016-03-01 12:30:00,1,0,641.0,39.31837,-76.67806,5.509571986450411,5,1,39.31737911111112,-76.67857622222222,39.340550095447526,-76.68238401277931,1.0
2012-12-21 07:00:00,0,0,932.0,39.28289,-76.63058,3.0223828240447834,3,2,39.28210885448916,-76.63259191950465,39.26376186739272,-76.62165641425072,1.0
2016-03-10 02:49:00,1,1,221.0,39.29363,-76.58335,3.174445431178213,1,21,39.29353651162791,-76.58353860465117,39.28954494317715,-76.57517554868063,1.0
2016-08-25 17:30:00,1,0,213.0,39.28638,-76.59356,3.0170919164450534,6,1,39.28431501347709,-76.59348733153638,39.28954494317715,-76.57517554868063,1.0
