temperature,uncertainty,lat,lon,average_diff_pos,current_date,city,country
0.61392365441092,-0.8038119036658621,0.8192537254862442,0.1871408547596233,1,1978-09-01,Aleppo,Syria
-0.13837558266624034,2.295438850390223,-1.9111336722047922,-1.1746119012620537,0,1905-07-01,Belo Horizonte,Brazil
0.014018681100409039,-0.2553017267808003,0.1951374451039702,1.023586917679329,0,1965-01-01,Calcutta,India
0.8858035135302136,2.3829312712430553,-0.6629011114402447,-0.4928238202496183,1,1935-11-01,Abidjan,Côte D'Ivoire
0.5812508904299896,-0.2014602370252116,0.6629819974278522,-0.5503439914412825,1,1936-09-01,Casablanca,Morocco
1.0299411221392272,0.13168398083749477,-0.3513282871747548,0.841412081542041,1,1950-04-01,Bangalore,India
0.02180352739189453,-0.2452064474516274,-0.7410369754694406,-1.6780377223256977,0,1919-10-01,Bogotá,Colombia
-0.13471906395357278,1.945469166978896,-1.9111336722047922,-1.1746119012620537,0,1919-08-01,Belo Horizonte,Brazil
1.0133098596074182,-0.06685651263623925,0.5071955852951071,0.08088601402804751,1,1960-08-01,Cairo,Egypt
-1.3449088056299083,-0.6220968757407498,0.6629819974278522,0.30665683005988253,0,1972-12-01,Baghdad,Iraq
-2.437500187418202,-0.5211440824490206,1.20896241378093,1.636417098934611,0,1961-11-01,Changchun,China
-0.9425737950199689,0.0004453495582467342,0.6629819974278522,-0.5503439914412825,0,1958-12-01,Casablanca,Morocco
-1.7005347384909366,-0.6759383654963385,1.130826549751734,-1.88590600668981,0,1936-11-01,Chicago,United States
-0.42287632895506283,-0.9855269315909747,1.5991564180012632,-0.2214678541379341,1,2007-05-01,Berlin,Germany
0.1324427065042143,2.3829312712430553,-0.19505655911636274,-0.7293693081185085,0,1915-03-01,Dakar,Senegal
-1.0904858745581876,4.701480423843102,0.5853314493243033,1.2790295223085932,0,1929-10-01,Chengdu,China
-0.5571059513749138,-0.7365100414713761,0.5071955852951071,0.08088601402804751,0,2009-01-01,Cairo,Egypt
1.10271763974296,-0.31587340275583786,0.5071955852951071,0.08088601402804751,1,2011-08-01,Cairo,Egypt
-0.34113544289446857,0.17206509815418647,-0.5071146993074996,0.19244530858709666,0,1956-09-01,Addis Abeba,Ethiopia
0.9829961399572407,4.3077645300053575,-0.6629011114402447,-0.4928238202496183,1,1915-04-01,Abidjan,Côte D'Ivoire
0.35254154256347753,-0.6658430861671656,-0.19505655911636274,-0.7293693081185085,0,1963-02-01,Dakar,Senegal
0.022747145124195664,-1.0797495386632552,-0.7410369754694406,-1.6780377223256977,0,1948-12-01,Bogotá,Colombia
-0.8851310655661311,-1.0595589800049092,0.5853314493243033,1.2790295223085932,1,1993-04-01,Chengdu,China
0.43097976656101766,0.5758762713211031,-0.039270146983617825,0.7654920861363285,0,1983-02-01,Bombay,India
-1.54295057719663,-0.46057240647398295,0.5071955852951071,1.3357208725897147,0,1957-01-01,Chongqing,China
-0.16031469494224407,1.5719438317994974,0.5853314493243033,1.2790295223085932,1,1905-08-01,Chengdu,China
-0.5882453365408545,-0.1341583748307254,0.6629819974278522,-0.5503439914412825,0,1931-11-01,Casablanca,Morocco
0.045747827349038324,1.1782279379617535,-0.7410369754694406,-1.6780377223256977,1,1916-04-01,Bogotá,Colombia
0.3675214740637595,-1.3119409632342323,-1.6772113960428514,-1.2266618544441361,1,1979-12-01,Brasília,Brazil
1.106492110672166,0.1855254705930837,-0.27319242314555875,1.2168679540178897,1,1945-05-01,Bangkok,Thailand
0.7641947782798919,0.2898433569945373,0.1951374451039702,0.7628398592225917,0,1936-03-01,Ahmadabad,India
-1.3042152909244173,-0.6523827137282684,0.8192537254862442,0.1871408547596233,0,1947-02-01,Aleppo,Syria
0.9842936143391552,-1.1840674250647087,-0.27319242314555875,1.2168679540178897,1,1988-09-01,Bangkok,Thailand
-0.8347654691045524,-0.12406309550155249,0.8192537254862442,0.1871408547596233,0,1944-03-01,Aleppo,Syria
-0.5044992627991199,-0.6961289241546844,1.5991564180012632,-0.2214678541379341,1,1956-06-01,Berlin,Germany
-1.5632383584411065,-0.6490176206185441,1.130826549751734,-1.88590600668981,0,1951-04-01,Chicago,United States
0.6790332779397052,-0.8812090451895214,-0.3513282871747548,0.841412081542041,0,1997-10-01,Bangalore,India
-2.052975961505448,-0.6927638310449601,0.9750401376189891,0.11254697281077915,0,1979-12-01,Ankara,Turkey
0.03760912440794027,0.13168398083749477,-1.9111336722047922,-1.1746119012620537,0,1952-08-01,Belo Horizonte,Brazil
1.1388110180034825,-0.7129543897033059,0.1951374451039702,1.023586917679329,1,1913-07-01,Calcutta,India
0.921896891790736,0.3403197536404019,-0.3513282871747548,0.841412081542041,1,1949-05-01,Bangalore,India
-0.03740848531000831,-0.19473005080576297,-0.7410369754694406,-1.6780377223256977,0,1911-11-01,Bogotá,Colombia
0.19236243250534352,-0.5951761308629553,0.5071955852951071,1.3357208725897147,1,1990-05-01,Chongqing,China
0.7152446084167651,-0.5245091755587448,-0.27319242314555875,1.2168679540178897,0,1993-01-01,Bangkok,Thailand
0.3224637273463758,-0.780256251897792,-0.7410369754694406,-1.704725755645173,1,1970-06-01,Cali,Colombia
