Unnamed: 0,dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,day,month,year,ratio,cases_per_100k,high_risk_2k
99,06/09/2020,71,11,Australia,AU,AUS,25203200.0,Oceania,6.36823895,6,9,2020,0.15492957746478872,0.2817102590147283,False
727,29/08/2020,67,0,French_Polynesia,PF,PYF,279285.0,Oceania,90.94652416,29,8,2020,0.0,23.98983117603881,False
913,22/11/2020,97,3,Guam,GU,GUM,167295.0,Oceania,858.36396784,22,11,2020,0.030927835051546393,57.981410083983384,False
719,06/09/2020,62,0,French_Polynesia,PF,PYF,279285.0,Oceania,163.99018923,6,9,2020,0.0,22.199545267379197,False
312,06/02/2020,1,0,Australia,AU,AUS,25203200.0,Oceania,0.05158075,6,2,2020,0.0,0.003967750126968004,False
106,30/08/2020,99,17,Australia,AU,AUS,25203200.0,Oceania,9.96698832,30,8,2020,0.1717171717171717,0.3928072625698325,False
1112,07/05/2020,2,0,Guam,GU,GUM,167295.0,Oceania,8.36845094,7,5,2020,0.0,1.1954929914223378,False
1698,08/05/2020,2,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.56449195,8,5,2020,0.0,0.04181421859051796,False
1824,09/12/2020,2,0,Northern_Mariana_Islands,MP,MNP,57213.0,Oceania,15.73069058,9,12,2020,0.0,3.4957090171814102,False
281,08/03/2020,11,1,Australia,AU,AUS,25203200.0,Oceania,0.20632301,8,3,2020,0.09090909090909093,0.04364525139664805,False
2157,26/09/2020,1,0,Papua_New_Guinea,PG,PNG,8776119.0,Oceania,0.28486396,26,9,2020,0.0,0.011394558346348766,False
864,14/04/2020,2,0,French_Polynesia,PF,PYF,279285.0,Oceania,6.80308645,14,4,2020,0.0,0.7161143634638452,False
1115,04/05/2020,1,0,Guam,GU,GUM,167295.0,Oceania,7.77070444,4,5,2020,0.0,0.5977464957111689,False
252,06/04/2020,57,2,Australia,AU,AUS,25203200.0,Oceania,16.00987176,6,4,2020,0.03508771929824561,0.2261617572371762,False
1918,06/09/2020,1,0,Northern_Mariana_Islands,MP,MNP,57213.0,Oceania,6.99141803,6,9,2020,0.0,1.7478545085907051,False
1752,07/03/2020,1,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.10453555,7,3,2020,0.0,0.02090710929525898,False
1017,10/08/2020,6,0,Guam,GU,GUM,167295.0,Oceania,43.03774769,10,8,2020,0.0,3.5864789742670133,False
1715,21/04/2020,2,1,New_Zealand,NZ,NZL,4783062.0,Oceania,3.42876592,21,4,2020,0.5,0.04181421859051796,False
2141,12/10/2020,5,0,Papua_New_Guinea,PG,PNG,8776119.0,Oceania,0.25068028,12,10,2020,0.0,0.05697279173174384,False
255,03/04/2020,248,2,Australia,AU,AUS,25203200.0,Oceania,17.91439182,3,4,2020,0.008064516129032258,0.984002031488065,False
38,06/11/2020,11,0,Australia,AU,AUS,25203200.0,Oceania,0.66261427,6,11,2020,0.0,0.04364525139664805,False
1077,11/06/2020,2,0,Guam,GU,GUM,167295.0,Oceania,6.57521145,11,6,2020,0.0,1.1954929914223378,False
959,07/10/2020,65,0,Guam,GU,GUM,167295.0,Oceania,375.38479931,7,10,2020,0.0,38.85352222122598,False
41,03/11/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.80545328,3,11,2020,0.0,0.027774250888776032,False
36,08/11/2020,7,0,Australia,AU,AUS,25203200.0,Oceania,0.60706577,8,11,2020,0.0,0.027774250888776032,False
504,13/07/2020,5,0,Fiji,FJ,FJI,889955.0,Oceania,0.89892186,13,7,2020,0.0,0.5618261597496502,False
964,02/10/2020,107,2,Guam,GU,GUM,167295.0,Oceania,301.86198033,2,10,2020,0.018691588785046728,63.95887504109507,False
1494,28/11/2020,3,0,New_Zealand,NZ,NZL,4783062.0,Oceania,1.08716968,28,11,2020,0.0,0.06272132788577695,False
