cases,deaths,population,high_risk_2w,current_date,first_date,country
-0.2426563437474873,-0.4192335944361502,-0.6238257732417675,True,2021-11-08,2020-04-03,SI
-0.18210154985747865,-0.34689601998102915,-0.6595634876615263,True,2021-03-03,2020-02-26,EE
-0.25546202361977505,-0.4192335944361502,-0.7196896285276156,False,2021-07-07,2020-01-03,LI
-0.25058860698821617,-0.4101913976292601,-0.692317936971119,True,2021-07-09,2020-02-24,LU
-0.16566672994041295,-0.2836006423327982,-0.3066955628680011,True,2021-12-26,2020-07-03,AT
-0.0971278279518929,0.22276237885304936,-0.2402178731718323,True,2020-12-13,2020-04-02,SE
0.19926922399089766,0.14138260759103816,-0.3066955628680011,True,2021-01-12,2020-07-03,AT
-0.25032938269930344,-0.4192335944361502,-0.692317936971119,True,2021-09-14,2020-02-24,LU
-0.22642890326155177,-0.337853823174139,-0.692317936971119,True,2020-11-27,2020-02-24,LU
-0.235449908515714,-0.4101913976292601,-0.4640103827982618,True,2021-09-17,2020-01-01,FI
-0.19096702053829326,0.005749655487686131,-0.4901467247631595,True,2021-01-29,2020-02-29,IE
-0.23493145993788858,-0.40114920082236993,-0.2416941972527805,False,2020-08-27,2020-02-26,PT
0.016256876018525667,-0.4192335944361502,-0.6801132384916969,True,2022-07-01,2020-09-03,CY
0.07079766640575948,0.8557161553353588,-0.2231455459289228,True,2021-03-01,2020-01-27,CZ
-0.21201603279800518,-0.17509428065011656,-0.22199794628190797,False,2021-12-01,2020-02-26,GR
-0.23949380742275225,-0.38306480720858965,-0.6325954551703444,True,2021-07-09,2020-02-29,LV
-0.25266240129951784,-0.4192335944361502,-0.5323801719368125,False,2020-05-07,2020-02-26,HR
-0.24447091376987626,-0.4101913976292601,-0.4713599416194266,False,2021-06-16,2020-02-18,NO
-0.25530648904642744,-0.4192335944361502,-0.692317936971119,False,2020-06-18,2020-02-24,LU
-0.21642284570952122,-0.40114920082236993,-0.4640103827982618,True,2021-02-03,2020-01-01,FI
-0.25229948729504004,-0.4192335944361502,-0.4640103827982618,False,2021-06-16,2020-01-01,FI
0.11159956948061975,0.06904503313591707,3.154168169875,True,2021-08-30,2020-02-01,DE
-0.2493961752592177,-0.4192335944361502,-0.4713599416194266,False,2020-09-30,2020-02-18,NO
-0.2447819829165715,-0.4192335944361502,-0.4671521849830297,False,2021-08-25,2020-06-03,SK
-0.23290951048436945,-0.23838965829834752,-0.3066955628680011,False,2020-02-04,2020-07-03,AT
0.7641189495316888,-0.03041913173987441,-0.18453645573354205,True,2021-01-12,2020-01-03,BE
-0.14995773803230283,-0.40114920082236993,1.4842584375475516,False,2020-07-17,2020-01-01,ES
-0.22352559122572943,-0.38306480720858965,-0.5912875066156191,True,2020-01-11,2020-01-02,LT
-0.2291248358662439,-0.31976942956035875,-0.5912875066156191,True,2021-09-03,2020-01-02,LT
-0.22518462667477077,-0.4192335944361502,-0.7045262237382378,False,2020-09-29,2020-02-29,IS
0.4915705321688674,-0.06658791896743495,2.4157034550036234,True,2020-09-26,2020-01-23,FR
0.06483550776076719,0.5663658575148746,-0.4671521849830297,True,2021-02-26,2020-06-03,SK
-0.25551386847755764,-0.4192335944361502,-0.7196896285276156,False,2021-07-03,2020-01-03,LI
-0.25380298817073377,-0.4192335944361502,-0.6595634876615263,False,2020-09-26,2020-02-26,EE
-0.03133670342584756,0.34031093734262113,-0.2662242445602854,True,2021-01-03,2020-03-03,HU
-0.10153464086340894,0.32222654372884085,0.17925058192005167,True,2021-03-15,2020-03-17,RO
-0.19340372885407273,-0.3649804135948094,-0.5912875066156191,True,2021-11-05,2020-01-02,LT
0.1100442237471435,0.4307329054115225,-0.2662242445602854,True,2022-08-02,2020-03-03,HU
-0.25307716016177817,-0.4192335944361502,-0.6975160144106798,True,2020-12-08,2020-06-03,MT
-0.24618179407670013,-0.4192335944361502,1.0473971791804135,False,2021-06-09,2020-04-03,PL
-0.23778292711592838,-0.3921070040154798,-0.4501478954029417,False,2021-09-21,2020-02-26,DK
-0.22871007700398358,-0.4101913976292601,-0.4713599416194266,True,2020-11-20,2020-02-18,NO
-0.23866428969823159,-0.35593821678791926,-0.3975483044836308,True,2020-10-25,2020-07-03,BG
-0.20792028903318438,-0.2926428391396883,-0.6595634876615263,True,2021-05-04,2020-02-26,EE
-0.2175115877229546,0.4126485117977422,-0.18453645573354205,True,2020-12-13,2020-01-03,BE
-0.08001902488365416,-0.20222087107078698,-0.18453645573354205,True,2021-10-03,2020-01-03,BE
-0.2146601205449148,-0.3921070040154798,-0.18453645573354205,True,2021-07-21,2020-01-03,BE
-0.2459225697877874,-0.40114920082236993,0.17925058192005167,False,2020-06-06,2020-03-17,RO
-0.2554101787619925,-0.4192335944361502,-0.7196896285276156,False,2021-05-30,2020-01-03,LI
-0.24421168948096353,-0.4101913976292601,-0.2416941972527805,False,2021-04-19,2020-02-26,PT
-0.028744460536720477,3.3061514900025855,2.4157034550036234,True,2021-02-15,2020-01-23,FR
-0.19278159056068223,-0.337853823174139,-0.6238257732417675,True,2021-02-03,2020-04-03,SI
-0.21491934483382752,-0.21126306787767712,-0.3975483044836308,True,2020-10-13,2020-07-03,BG
-0.2556175581931227,-0.4192335944361502,-0.4640103827982618,False,2020-01-21,2020-01-01,FI
0.03512840425137082,0.06000283632902694,0.0897180039688532,True,2021-03-23,2020-02-28,NL
-0.2549954198997322,-0.4192335944361502,-0.4640103827982618,False,2020-07-27,2020-01-01,FI
-0.1415588710715311,-0.38306480720858965,-0.6801132384916969,True,2022-02-17,2020-09-03,CY
-0.13611516100436422,-0.22030526468456724,-0.2231455459289228,True,2020-09-23,2020-01-27,CZ
-0.22731026584385497,-0.3649804135948094,-0.2662242445602854,False,2021-09-29,2020-03-03,HU
-0.24830743324578433,-0.38306480720858965,-0.6975160144106798,True,2020-11-11,2020-06-03,MT
-0.11688071876704127,-0.34689601998102915,-0.2416941972527805,True,2021-08-21,2020-02-26,PT
-0.24047885972062052,-0.4192335944361502,-0.2662242445602854,False,2020-08-30,2020-03-03,HU
0.29191598484829956,-0.2655162487190179,2.4157034550036234,True,2020-12-09,2020-01-23,FR
-0.2552546441886449,-0.4192335944361502,-0.4640103827982618,False,2020-02-07,2020-01-01,FI
-0.03496584347062547,-0.38306480720858965,2.4157034550036234,True,2021-11-07,2020-01-23,FR
-0.2552027993308624,-0.4192335944361502,-0.5912875066156191,False,2020-04-06,2020-01-02,LT
-0.24421168948096353,-0.4101913976292601,-0.2231455459289228,False,2021-11-08,2020-01-27,CZ
-0.25546202361977505,-0.4192335944361502,-0.7196896285276156,False,2021-05-14,2020-01-03,LI
-0.24944802011700024,-0.4192335944361502,-0.4713599416194266,False,2020-11-09,2020-02-18,NO
-0.12605725859455114,-0.31976942956035875,-0.2416941972527805,True,2021-11-21,2020-02-26,PT
0.5163523741889223,0.34935313414951125,-0.2662242445602854,True,2022-01-19,2020-03-03,HU
-0.2545288161796893,-0.4101913976292601,-0.7045262237382378,False,2020-11-30,2020-02-29,IS
-0.24333032689866033,-0.4192335944361502,-0.3066955628680011,False,2020-08-29,2020-07-03,AT
-0.16048224416215878,-0.17509428065011656,-0.3975483044836308,True,2021-09-23,2020-07-03,BG
-0.17971668639948174,-0.37402261040169954,-0.22199794628190797,True,2021-11-07,2020-02-26,GR
-0.17997591068839444,-0.4192335944361502,-0.4901467247631595,True,2021-09-26,2020-02-29,IE
-0.249136950970305,-0.4192335944361502,-0.2231455459289228,False,2021-03-07,2020-01-27,CZ
-0.25141812471273683,-0.3107272327534686,-0.2662242445602854,False,2021-07-06,2020-03-03,HU
-0.24618179407670013,-0.337853823174139,-0.3975483044836308,True,2021-07-02,2020-07-03,BG
-0.2436413960453556,-0.4101913976292601,-0.4671521849830297,True,2020-09-28,2020-06-03,SK
-0.2556175581931227,-0.4192335944361502,-0.5912875066156191,False,2020-05-03,2020-01-02,LT
-0.25089967613491143,-0.4192335944361502,-0.4901467247631595,False,2020-08-13,2020-02-29,IE
-0.19957326693019517,-0.3921070040154798,-0.6801132384916969,True,2021-07-13,2020-09-03,CY
-0.03895789751988118,-0.12084109980877576,0.0897180039688532,True,2021-02-22,2020-02-28,NL
-0.03667672377744935,-0.34689601998102915,-0.4640103827982618,True,2022-02-13,2020-01-01,FI
-0.1842790338843454,-0.3649804135948094,3.154168169875,False,2020-08-14,2020-02-01,DE
-0.25105521070825904,-0.4192335944361502,-0.6238257732417675,False,2020-09-21,2020-04-03,SI
-0.25229948729504004,-0.3649804135948094,-0.18453645573354205,False,2020-08-03,2020-01-03,BE
0.06929416553006576,-0.1841364774570067,-0.4671521849830297,True,2020-11-12,2020-06-03,SK
0.19449949707490383,-0.337853823174139,-0.6325954551703444,True,2022-01-28,2020-02-29,LV
-0.03631380977297156,0.005749655487686131,-0.4901467247631595,True,2021-12-15,2020-02-29,IE
-0.1712141297231449,-0.3649804135948094,-0.6325954551703444,True,2022-04-01,2020-02-29,LV
